"DSC_0030.png","0.40784, 0.070588, 0.070588","0.6, 0.043137, 0.035294","0.44887, 0.066156, 0.074042","0.49412, 0.090196, 0.062745","0.53725, 0.011765, 0.0078431","0.30196, 0.066667, 0.062745","0.35427, 0.069613, 0.067232","0.41756, 0.054997, 0.039926"
"darkOrMystery2_hdrOff.png","0.66275, 0.17255, 0.098039","0.80784, 0.21176, 0.066667","0.70996, 0.17908, 0.1013","0.63529, 0.094118, 0.043137","0.76471, 0.17255, 0.066667","0.58039, 0.13725, 0.086275","0.62132, 0.15483, 0.092177","0.69948, 0.13448, 0.054739"
"darkOr_2_1_hdrOff.png","0.72941, 0.20392, 0.14118","0.81176, 0.19216, 0.078431","0.77934, 0.21269, 0.1478","0.65882, 0.13725, 0.090196","0.71765, 0.12941, 0.070588","0.69405, 0.17151, 0.11567","0.8205, 0.25323, 0.14871","0.76445, 0.16147, 0.074616"
"gold_2_7days_hdrOff.png","0.80784, 0.27451, 0.18431","0.84314, 0.21961, 0.10196","0.86089, 0.28874, 0.19361","0.88235, 0.33333, 0.21176","0.74118, 0.22745, 0.16863","0.79608, 0.21569, 0.12941","0.77439, 0.25104, 0.17647","0.85235, 0.25555, 0.14958"
"gold_2_hdrOff.png","0.80392, 0.45882, 0.21569","0.85892, 0.48879, 0.22711","0.92959, 0.50503, 0.082999","0.85098, 0.41569, 0.094118","0.78431, 0.33333, 0.1098","0.89804, 0.59608, 0.29804","0.73333, 0.36471, 0.19216","0.79216, 0.38431, 0.1451"
"green10days2_hdrOff.png","0.71765, 0.23137, 0.16471","0.80784, 0.21569, 0.1098","0.76908, 0.2436, 0.17361","0.69804, 0.16471, 0.1098","0.62745, 0.18431, 0.13725","0.67228, 0.20775, 0.15089","0.75258, 0.19014, 0.11024",
"green22days1_hdrOff.png","0.68235, 0.57255, 0.20784","0.72549, 0.62353, 0.15686","0.76987, 0.66176, 0.16087","0.82745, 0.62745, 0.21569","0.70588, 0.53725, 0.12549","0.7451, 0.66275, 0.27451","0.60784, 0.52941, 0.18824","0.65098, 0.51373, 0.18824"
"green4days2_hdrOff.png","0.59216, 0.46275, 0.22745","0.64213, 0.50127, 0.24338","0.74416, 0.62706, 0.20482","0.57255, 0.37255, 0.14902","0.63922, 0.53725, 0.16471","0.65882, 0.54902, 0.25098","0.51765, 0.37647, 0.20784","0.56471, 0.41569, 0.17647"
"green_2_17days_1_hdrOff.png","0.54902, 0.55686, 0.18431","0.58764, 0.59671, 0.19318","0.84673, 0.81409, 0.21851","0.50196, 0.53333, 0.094118","0.78824, 0.75686, 0.21961","0.66667, 0.64314, 0.17255","0.69804, 0.70196, 0.30196","0.41961, 0.45098, 0.12549"
"green_2_2_hdrOff.png","0.50196, 0.52941, 0.19608","0.57255, 0.58431, 0.12549","0.53942, 0.56976, 0.20711","0.6093, 0.62259, 0.12696","0.68627, 0.71373, 0.26667","0.4549, 0.49412, 0.11765","0.61961, 0.64314, 0.26667","0.37647, 0.41569, 0.12941"
